Name,Rank,Rng,Wt,Mt,Hit,Crt,Uses,Worth,WEx
IronSword,E,1,5,5,90,0,46,460,1
SlimSword,E,1,2,3,100,5,30,480,1
PoisonSword,D,1,6,3,70,0,40,–,1
SteelSword,D,1,10,8,75,0,30,600,1
IronBlade,D,1,12,9,70,0,35,980,2
Armourslayer,D,1,11,8,80,0,18,1260,1
Longsword,D,1,11,6,85,0,18,1260,1
WoDao,D,1,5,8,75,35,20,1200,1
SteelBlade,C,1,14,11,65,0,25,1250,2
KillingEdge,C,1,7,9,75,30,20,1300,1
Wyrmslayer,C,1,5,7,75,0,20,3000,1
LightBrand,C,1~2,9,9,70,0,25,1250,1
Lancereaver,C,1,9,9,75,5,15,1800,2
BraveSword,B,1,12,9,75,0,30,3000,1
SilverSword,A,1,8,13,80,0,20,1500,1
SilverBlade,A,1,13,14,60,0,15,1800,2
Runesword,A,1~2,11,12,65,0,15,3300,1
RegalBlade,S,1,9,20,85,0,25,15000,1
ManiKatti,Prf,1,3,8,80,20,45,–,2
Rapier,Prf,1,5,7,95,10,40,6000,2
Durandal,Prf,1,16,17,90,0,20,–,1
SolKatti,Prf,1,14,12,95,25,30,–,2
